corpus,condition,lag_s,p25,p50,p75,n_sessions
Mouse-Dyad-10M,near,-4.703430706340705,0.7658392238312681,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.696768623187247,0.7658392238312681,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.69010654003379,0.6992207152257743,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.683444456880333,0.6914882316560071,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.676782373726876,0.6908955898498708,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.670120290573419,0.6987170187569729,1.2667165264525004,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.663458207419962,0.6987170187569729,1.2677264919365188,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.6567961242665055,0.6987170187569729,1.322763653683298,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.650134041113048,0.6987170187569729,1.3235262349218755,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.643471957959591,0.7625403981411034,1.3235262349218755,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.636809874806134,0.8405826758056618,1.3235262349218755,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.630147791652677,0.8411971868147212,1.3235262349218755,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.62348570849922,0.7625403981411034,1.2677264919365188,1.7139917009277168,35
Mouse-Dyad-10M,near,-4.616823625345763,0.7354741855572593,1.1989251227702915,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.610161542192305,0.73485509375949,1.1984775284191698,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.603499459038848,0.73485509375949,1.1984775284191698,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.596837375885391,0.73485509375949,1.1984775284191698,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.590175292731934,0.73485509375949,1.201854727252395,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.583513209578477,0.73485509375949,1.2283474103939107,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.57685112642502,0.73485509375949,1.2285295529184435,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.570189043271563,0.73485509375949,1.1984775284191698,1.6903031504405805,35
Mouse-Dyad-10M,near,-4.563526960118105,0.73485509375949,1.1656695463492794,1.6545876353034097,35
Mouse-Dyad-10M,near,-4.5568648769646485,0.73485509375949,1.1984775284191698,1.6545876353034097,35
Mouse-Dyad-10M,near,-4.5502027938111915,0.73485509375949,1.1296697004600011,1.5807100032206856,35
Mouse-Dyad-10M,near,-4.543540710657735,0.73485509375949,1.2020371345189704,1.5803043986716614,35
Mouse-Dyad-10M,near,-4.536878627504278,0.73485509375949,1.2021573383074964,1.5296476382336688,35
Mouse-Dyad-10M,near,-4.530216544350821,0.73485509375949,1.2026037223692883,1.548904309609072,35
Mouse-Dyad-10M,near,-4.523554461197364,0.73485509375949,1.2020371345189704,1.549187574058836,35
Mouse-Dyad-10M,near,-4.516892378043906,0.73485509375949,1.1656695463492794,1.5215674567229123,35
Mouse-Dyad-10M,near,-4.510230294890449,0.73485509375949,1.1656695463492794,1.4858671092380407,35
Mouse-Dyad-10M,near,-4.503568211736992,0.73485509375949,1.1656695463492794,1.495144895345272,35
Mouse-Dyad-10M,near,-4.496906128583535,0.73485509375949,1.1656695463492794,1.5400192009667348,35
Mouse-Dyad-10M,near,-4.490244045430078,0.73485509375949,1.1656695463492794,1.5850546068100524,35
Mouse-Dyad-10M,near,-4.483581962276621,0.73485509375949,1.1656695463492794,1.4993184501638592,35
Mouse-Dyad-10M,near,-4.476919879123163,0.73485509375949,1.1656695463492794,1.525447646831977,35
Mouse-Dyad-10M,near,-4.470257795969706,0.73485509375949,1.1656695463492794,1.5522994503704033,35
Mouse-Dyad-10M,near,-4.463595712816249,0.73485509375949,1.1656695463492794,1.5526979286316016,35
Mouse-Dyad-10M,near,-4.456933629662792,0.73485509375949,1.1656695463492794,1.5368969642744115,35
Mouse-Dyad-10M,near,-4.450271546509335,0.73485509375949,1.1597290098863646,1.565881385608461,35
Mouse-Dyad-10M,near,-4.4436094633558785,0.73485509375949,1.1595180928601894,1.566245766343343,35
Mouse-Dyad-10M,near,-4.4369473802024215,0.73485509375949,1.1044069551477858,1.5836660553238655,35
Mouse-Dyad-10M,near,-4.430285297048964,0.73485509375949,1.1595180928601894,1.566245766343343,35
Mouse-Dyad-10M,near,-4.423623213895507,0.73485509375949,1.1595180928601894,1.5836660553238655,35
Mouse-Dyad-10M,near,-4.41696113074205,0.73485509375949,1.1540986862427711,1.5836660553238655,35
Mouse-Dyad-10M,near,-4.410299047588593,0.73485509375949,1.1595180928601894,1.5836660553238655,35
Mouse-Dyad-10M,near,-4.403636964435136,0.73485509375949,1.1754021104994157,1.5836660553238655,35
Mouse-Dyad-10M,near,-4.396974881281679,0.73485509375949,1.1595180928601894,1.588351643420327,35
Mouse-Dyad-10M,near,-4.390312798128221,0.73485509375949,1.2023956470395758,1.588351643420327,35
Mouse-Dyad-10M,near,-4.383650714974764,0.6372667282104618,1.1597258524458518,1.588351643420327,35
Mouse-Dyad-10M,near,-4.376988631821307,0.6372667282104618,1.205654824214643,1.588351643420327,35
Mouse-Dyad-10M,near,-4.37032654866785,0.6751769048922727,1.2058780328379233,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.363664465514393,0.6751769048922727,1.2058780328379233,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.357002382360936,0.6743926969594478,1.2058780328379233,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.350340299207479,0.47045413706252637,1.2058780328379233,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.3436782160540215,0.5221877657113246,1.25201646288814,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.3370161329005645,0.5225097424122742,1.2093578926838635,1.5678224871991213,35
Mouse-Dyad-10M,near,-4.330354049747108,0.5225097424122742,1.1804480675376847,1.6086998264418106,35
Mouse-Dyad-10M,near,-4.323691966593651,0.5225097424122742,1.1804480675376847,1.609068133862313,35
Mouse-Dyad-10M,near,-4.317029883440194,0.5225097424122742,1.2018973335479979,1.5916478448817906,35
Mouse-Dyad-10M,near,-4.310367800286737,0.5225097424122742,1.2020371345189704,1.5916478448817906,35
Mouse-Dyad-10M,near,-4.30370571713328,0.6729646683627666,1.2522379728156567,1.6626434172031583,35
Mouse-Dyad-10M,near,-4.297043633979822,0.6729646683627666,1.269871855931902,1.6202838048732486,35
Mouse-Dyad-10M,near,-4.290381550826365,0.5831220492790223,1.269871855931902,1.620504220265492,35
Mouse-Dyad-10M,near,-4.283719467672908,0.5825791455476469,1.269871855931902,1.6397763045594844,35
Mouse-Dyad-10M,near,-4.277057384519451,0.5825791455476469,1.2837007995024123,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.270395301365994,0.5825791455476469,1.2983955208565918,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.263733218212537,0.5825791455476469,1.2985979127933904,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.257071135059079,0.48634461736924123,1.3118416928217864,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.250409051905622,0.48578043269283194,1.3118416928217864,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.243746968752165,0.48578043269283194,1.3118416928217864,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.237084885598708,0.48578043269283194,1.3118416928217864,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.2304228024452515,0.48578043269283194,1.3447421184092019,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.2237607192917945,0.48578043269283194,1.3449578527711241,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.217098636138338,0.48578043269283194,1.3449578527711241,1.7026183852915153,35
Mouse-Dyad-10M,near,-4.21043655298488,0.48578043269283194,1.3449578527711241,1.593993557420343,35
Mouse-Dyad-10M,near,-4.203774469831423,0.48578043269283194,1.3449578527711241,1.5936183818463876,35
