session,camera,tracker,difficulty,bedding,animals,mota,motp,idf1,idp,idr,idtp,idfp,idfn,num_switches,num_fragmentations,precision,recall,num_false_positives,num_misses,num_detections,num_objects,num_predictions,mostly_tracked,partially_tracked,mostly_lost,num_unique_objects,num_frames
10072022140918,back,luc3d,2,black,2,0.9996443423068505,0.0,0.9998221395247021,1.0,0.9996443423068505,36539.0,0.0,13.0,0,4,1.0,0.9996443423068505,0,13,36539,36552,36539,2,0,0,2,18510
10072022140918,backL,luc3d,2,black,2,0.9999724608944701,0.0,0.9999862302576319,1.0,0.9999724608944701,36311.0,0.0,1.0,0,1,1.0,0.9999724608944701,0,1,36311,36312,36311,2,0,0,2,18510
10072022140918,mid,luc3d,2,black,2,0.9993710691823899,0.0,0.9996854356715948,1.0,0.9993710691823899,36547.0,0.0,23.0,0,7,1.0,0.9993710691823899,0,23,36547,36570,36547,2,0,0,2,18510
10072022140918,midL,luc3d,2,black,2,0.996921300750433,0.0,0.9984614539260399,0.9979405222835489,0.9989829297121966,36342.0,75.0,37.0,0,6,0.9979405222835489,0.9989829297121966,75,37,36342,36379,36417,2,0,0,2,18510
10072022140918,top,luc3d,2,black,2,0.9998907044100771,0.0,0.9999453492184939,1.0,0.9998907044100771,36594.0,0.0,4.0,0,2,1.0,0.9998907044100771,0,4,36594,36598,36594,2,0,0,2,18510
10072022140918,topL,luc3d,2,black,2,0.9998633991749311,0.0,0.9999316949222005,1.0,0.9998633991749311,36598.0,0.0,5.0,0,3,1.0,0.9998633991749311,0,5,36598,36603,36598,2,0,0,2,18510
10072022142111,back,luc3d,3,black,3,0.39360016253555463,0.005581133218073767,0.5418579904083031,0.9589804447654919,0.37761072734660706,18586.0,795.0,30634.0,6,83,0.9999484030751767,0.3937423811458757,1,29840,19380,49220,19381,1,0,2,3,18219
10072022142111,backL,luc3d,3,black,3,0.2528368937527763,0.0005454757853904469,0.4036230015471893,1.0,0.2528368937527763,12522.0,0.0,37004.0,0,2,1.0,0.2528368937527763,0,37004,12522,49526,12522,0,1,2,3,18219
10072022142111,mid,luc3d,3,black,3,0.06263273893007415,0.0001944024608755408,0.11791545684226404,0.9996803069053708,0.06265277499499099,3127.0,1.0,46783.0,2,2,1.0,0.06267281105990784,0,46782,3128,49910,3128,0,0,3,3,18219
10072022142111,midL,luc3d,3,black,3,0.0782460939118903,0.0005806715660037745,0.14513587269862013,1.0,0.07824609391189026,3776.0,0.0,44482.0,0,1,1.0,0.07824609391189026,0,44482,3776,48258,3776,0,0,3,3,18219
10072022142111,top,luc3d,3,black,3,0.29147776982422646,8.150623895273121e-05,0.43183742591024554,0.9564891222805701,0.27887139107611547,14025.0,638.0,36267.0,2,1,0.9999318011321012,0.2915374214586813,1,35630,14662,50292,14663,0,1,2,3,18219
10072022142111,topL,luc3d,3,black,3,0.37320932432166154,5.3700293487436025e-05,0.5252751352359635,0.9662162162162162,0.3606770576760133,18304.0,640.0,32445.0,2,1,0.9999472128378378,0.3732684387869712,1,31806,18943,50749,18944,1,0,2,3,18219
10072022143153,back,luc3d,3,black,3,0.02350614278650487,0.00011253880518013853,0.04593258761009328,1.0,0.023506142786504886,1236.0,0.0,51346.0,0,0,1.0,0.023506142786504886,0,51346,1236,52582,1236,0,0,3,3,18058
10072022143153,backL,luc3d,3,black,3,0.38536448523223665,0.013812618508251231,0.5230600398532936,0.9361174281579492,0.3629222939125556,18112.0,1236.0,31794.0,116,256,1.0,0.3876888550474893,0,30558,19348,49906,19348,0,2,1,3,18058
10072022143153,mid,luc3d,3,black,3,0.290580959140221,1.3349940821849963e-05,0.44966643120634175,0.9953439888811675,0.29043901449863124,14323.0,67.0,34992.0,60,67,1.0,0.29179762749670485,0,34925,14390,49315,14390,0,1,2,3,18058
10072022143153,midL,luc3d,3,black,3,0.24184317658858934,3.289728232514683e-05,0.3596426029888511,0.9179044236357765,0.22363167935178083,11371.0,1017.0,39476.0,83,73,0.9996771068776235,0.2435541919877279,4,38463,12384,50847,12388,0,2,1,3,18058
10072022143153,top,luc3d,3,black,3,0.41295151317930356,0.015743159656063672,0.5397862232779097,0.9150308853809197,0.38280277942612123,19998.0,1857.0,32243.0,252,203,0.9993136582017845,0.4180624413774621,15,30401,21840,52241,21855,0,2,1,3,18058
10072022143153,topL,luc3d,3,black,3,0.3386269899394827,0.0,0.4557911065149948,0.8945202390348405,0.3058050341132483,15867.0,1871.0,36019.0,168,86,1.0,0.3418648575723702,0,34148,17738,51886,17738,0,2,1,3,18058
10072022144215,back,luc3d,3,black,3,0.549446858949032,0.06359243341287749,0.7095633143322475,0.9968182468182468,0.550829711576452,27883.0,89.0,22737.0,11,110,0.9973544973544973,0.5511260371394706,74,22722,27898,50620,27972,0,3,0,3,18082
10072022144215,backL,luc3d,3,black,3,0.3767309624764099,5.085254507693772e-05,0.5472833440148116,1.0,0.3767309624764099,15371.0,0.0,25430.0,0,1,1.0,0.3767309624764099,0,25430,15371,40801,15371,0,1,2,3,18082
10072022144215,mid,luc3d,3,black,3,0.3842018403680736,0.0,0.5546567476797516,0.9979857050032489,0.3840518103620724,15359.0,31.0,24633.0,1,5,0.9992202729044835,0.3845269053810762,12,24614,15378,39992,15390,0,1,2,3,18082
10072022144215,midL,luc3d,3,black,3,0.3518229505353969,0.0,0.5207455247680252,0.9988933292345528,0.35216976633285646,16247.0,18.0,29887.0,2,6,0.9990162926529358,0.35221311830753893,16,29885,16249,46134,16265,0,1,2,3,18082
10072022144215,top,luc3d,3,black,3,0.6415264540926384,0.03832871320983253,0.6727183805899825,0.8586741374585097,0.5529670157273404,28198.0,4641.0,22796.0,5,50,0.9981729041688236,0.6428011138565322,60,18215,32779,50994,32839,1,2,0,3,18082
10072022144215,topL,luc3d,3,black,3,0.4222672386399746,5.8243327813078445e-05,0.46847475607543165,0.7882474517356381,0.3332737527804258,16781.0,4508.0,33571.0,7,5,0.9995302738503452,0.42260486177311724,10,29073,21279,50352,21289,1,0,2,3,18082
10072022145420,back,luc3d,4,black,4,0.1525925711891587,0.015261103272921753,0.1927134230374101,0.7254975945665503,0.1111143216261901,7691.0,2910.0,61526.0,17,57,0.9989623620413168,0.15299709608911105,11,58627,10590,69217,10601,0,1,3,4,18255
10072022145420,backL,luc3d,4,black,4,0.1284079880003529,0.0035129906422713547,0.15193766125459332,0.6670480549199085,0.08573277256551277,5830.0,2910.0,62172.0,6,25,0.9998855835240275,0.1285109261492309,1,59263,8739,68002,8740,0,1,3,4,18255
10072022145420,mid,luc3d,4,black,4,0.04232569160594757,0.0007171636730297053,0.08144076583294274,0.9944502254595907,0.042458977548723416,2867.0,16.0,64657.0,3,7,0.9961845300034686,0.04253302529471003,11,64652,2872,67524,2883,0,0,4,4,18255
10072022145420,midL,luc3d,4,black,4,0.07757691847240511,0.0026002183870095044,0.12932134731701903,0.8861216730038023,0.06975038908176703,4661.0,599.0,62163.0,12,20,0.993916349809886,0.07823536453968634,32,61596,5228,66824,5260,0,0,4,4,18255
10072022145420,top,luc3d,4,black,4,0.1408730730442299,0.009603430989322226,0.16801655186334621,0.6756290584415584,0.09593718484368247,6659.0,3197.0,62751.0,14,169,0.9967532467532467,0.1415358017576718,32,59586,9824,69410,9856,0,1,3,4,18255
10072022145420,topL,luc3d,4,black,4,0.056018950541956825,0.0056961536157971605,0.10582542746078778,0.9933656545037,0.05588974230134233,3893.0,26.0,65762.0,13,29,0.9994896657310538,0.05623429760964755,2,65738,3917,69655,3919,0,0,4,4,18255
10072022150448,back,luc3d,4,black,4,0.051838515338272995,1.480940089890243e-05,0.09859117840684661,0.9997329773030708,0.05185236479468181,3744.0,1.0,68461.0,0,0,0.9997329773030708,0.05185236479468181,1,68461,3744,72205,3745,0,0,4,4,19142
10072022150448,backL,luc3d,4,black,4,0.18602658746590894,0.0010402756749460832,0.28646403851941016,0.9123600674743138,0.1699056159239216,11899.0,1143.0,58134.0,8,16,0.9997699739303788,0.18618365627632688,3,56994,13039,70033,13042,0,2,2,4,19142
10072022150448,mid,luc3d,4,black,4,0.17637020678578597,0.0022352868712309532,0.27627056672760514,0.9202663202338421,0.16253190696073652,11334.0,982.0,58400.0,17,21,1.0,0.17661399030602,0,57418,12316,69734,12316,0,2,2,4,19142
10072022150448,midL,luc3d,4,black,4,0.12338295974127356,0.0,0.2196632211150682,1.0,0.12338295974127356,8851.0,0.0,62885.0,0,0,1.0,0.12338295974127356,0,62885,8851,71736,8851,0,1,3,4,19142
10072022150448,top,luc3d,4,black,4,0.19175089528918876,0.0023670146589431394,0.282966554912356,0.8788009799682951,0.16863238527162866,12196.0,1682.0,60127.0,10,21,1.0,0.19188916388977229,0,58445,13878,72323,13878,0,2,2,4,19142
10072022150448,topL,luc3d,4,black,4,0.14540477656880857,0.00013424414620599647,0.24664571858684095,0.9706601466992665,0.14127147060836243,10322.0,312.0,62743.0,6,7,0.999811924017303,0.14551426811742968,2,62433,10632,73065,10634,0,1,3,4,19142
10072022151549,back,luc3d,4,black,4,0.3318065356483403,0.0043884021313366885,0.40267706554083815,0.8070099896658629,0.2682678957388031,18742.0,4482.0,51121.0,43,129,1.0,0.3324220259651031,0,46639,23224,69863,23224,0,2,2,4,18200
10072022151549,backL,luc3d,4,black,4,0.5831258644536652,0.01559661791078716,0.5020378189829264,0.6793193392125202,0.398136419887894,27346.0,12909.0,41339.0,131,427,0.999105701155136,0.5855572541311785,36,28466,40219,68685,40255,2,1,1,4,18200
10072022151549,mid,luc3d,4,black,4,0.6828115256891776,0.019416688776141475,0.5466532400354601,0.6724189040399763,0.4605200191418089,31757.0,15471.0,37202.0,142,379,1.0,0.6848707202830667,0,21731,47228,68959,47228,2,2,0,4,18200
10072022151549,midL,luc3d,4,black,4,0.41225434523210513,0.004160066885135281,0.4779810263658271,0.8164512991524246,0.33790019983035985,23504.0,5284.0,46055.0,106,92,0.9998957899124635,0.4138213602840754,3,40774,28785,69559,28788,1,1,2,4,18200
10072022151549,top,luc3d,4,black,4,0.486686182340192,0.009971535126330124,0.4534647285245468,0.6912320156849177,0.33740535367466995,23974.0,10709.0,47080.0,78,52,0.999654009168757,0.48795282461226674,12,36383,34671,71054,34683,2,0,2,4,18200
10072022151549,topL,luc3d,4,black,4,0.22735179418118567,0.0,0.37060483824890583,0.9994453004622497,0.22747804618017564,16216.0,9.0,55070.0,0,0,0.9994453004622497,0.22747804618017564,9,55070,16216,71286,16225,0,2,2,4,18200
10072022161055,back,luc3d,7,black,2,0.19002303916658314,0.0,0.3194366513298171,0.9996488147497805,0.19008981935957794,5693.0,2.0,24256.0,4,15,1.0,0.19015659955257272,0,24254,5695,29949,5695,0,0,2,2,18249
10072022161055,backL,luc3d,7,black,2,0.04532632388767788,6.784963818266598e-05,0.08705781374532524,0.9957924263674615,0.04551865623797923,1420.0,6.0,29776.0,0,1,0.9957924263674615,0.04551865623797923,6,29776,1420,31196,1426,0,0,2,2,18249
10072022161055,mid,luc3d,7,black,2,0.3073991743410607,0.002916762459194626,0.408623033598757,0.8674500103071532,0.2672594474436329,8416.0,1286.0,23074.0,20,166,0.9998969284683571,0.30806605271514764,1,21789,9701,31490,9702,0,2,0,2,18249
10072022161055,midL,luc3d,7,black,2,0.24172110103669042,0.0003329992343950375,0.3878162536803981,0.9781808622502629,0.24185109356212017,7442.0,166.0,23329.0,20,14,0.9901419558359621,0.24480842351564785,75,23238,7533,30771,7608,0,2,0,2,18249
10072022161055,top,luc3d,7,black,2,0.30042378492914845,0.003797303780253067,0.4115322253749493,0.876348726801899,0.268904780823732,8122.0,1146.0,22082.0,84,76,0.9940656020716444,0.30502582439411996,55,20991,9213,30204,9268,0,2,0,2,18249
10072022161055,topL,luc3d,7,black,2,0.17808958445763623,0.0,0.30248659716048387,0.9992880028479886,0.17821656455350623,5614.0,4.0,25887.0,0,3,0.9992880028479886,0.17821656455350623,4,25887,5614,31501,5618,0,0,2,2,18249
10072022162233,back,luc3d,7,black,2,0.06684761062486655,0.005631886006575313,0.12339258158541465,0.9800272355878348,0.06584123692476594,2159.0,44.0,30632.0,11,4,1.0,0.06718306852490012,0,30588,2203,32791,2203,0,0,2,2,18086
