369 cells, 12 workers
[204/369] OK soc1/2022_09_25_M6_M2/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[205/369] OK soc1/2022_09_26_M1_M3/C7d_cams2_drop25 idf1=0.798405 acc=0.931076 sw=1368
[206/369] OK soc1/2022_09_26_M1_M3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[207/369] OK soc1/2022_09_25_M6_M2/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[208/369] OK soc1/2022_09_25_M6_M2/C7d_cams5_drop25 idf1=0.99795 acc=0.999965 sw=6
[209/369] OK soc1/2022_09_25_M6_M2/C7d_cams6_drop25 idf1=0.999486 acc=0.999971 sw=4
[210/369] OK soc1/2022_09_26_M1_M3/C7d_cams3_drop25 idf1=0.96787 acc=0.999968 sw=10
[211/369] OK soc1/2022_09_26_M1_M3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[212/369] OK soc1/2022_09_26_M1_M3/C7d_cams4_drop25 idf1=0.939056 acc=0.94649 sw=22
[213/369] OK soc1/2022_09_26_M1_M3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[214/369] OK soc1/2022_09_26_M5_M2/C7d_cams2_drop25 idf1=0.574533 acc=0.669698 sw=274
[215/369] OK soc1/2022_09_26_M1_M3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[216/369] OK soc1/2022_09_26_M5_M2/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[217/369] OK soc1/2022_09_26_M1_M3/C7d_cams5_drop25 idf1=0.997992 acc=0.999964 sw=6
[218/369] OK soc1/2022_09_26_M1_M3/C7d_cams6_drop25 idf1=0.999494 acc=0.999969 sw=3
[219/369] OK soc1/2022_09_26_M5_M2/C7d_cams3_drop25 idf1=0.771356 acc=0.797058 sw=24
[220/369] OK soc1/2022_09_26_M5_M2/C7c_cams3_sigma0 idf1=0.779026 acc=0.779026 sw=2
[221/369] OK soc1/2022_09_26_M5_M2/C7d_cams4_drop25 idf1=0.665309 acc=0.670677 sw=57
[222/369] OK soc1/2022_09_26_M5_M2/C7c_cams4_sigma0 idf1=0.999997 acc=0.999997 sw=0
[223/369] OK soc1/2022_09_26_M5_M2/C7d_cams5_drop25 idf1=0.997927 acc=0.999932 sw=9
[224/369] OK soc1/2022_09_26_M6_M4/C7d_cams2_drop25 idf1=0.622041 acc=0.72582 sw=107
[225/369] OK soc1/2022_09_26_M6_M4/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[226/369] OK soc1/2022_09_26_M5_M2/C7c_cams5_sigma0 idf1=0.999998 acc=0.999998 sw=0
[227/369] OK soc1/2022_09_26_M6_M4/C7d_cams3_drop25 idf1=0.967945 acc=0.999851 sw=23
[228/369] OK soc1/2022_09_26_M5_M2/C7d_cams6_drop25 idf1=0.999432 acc=0.999939 sw=4
[229/369] OK soc1/2022_09_26_M6_M4/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[230/369] OK soc1/2022_09_26_M6_M4/C7d_cams4_drop25 idf1=0.992079 acc=0.999951 sw=11
[231/369] OK soc1/2022_09_26_M6_M4/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[232/369] OK soc3/2022_10_04_M1_M2/C7d_cams2_drop25 idf1=0.857142 acc=1.0 sw=0
[233/369] OK soc3/2022_10_04_M1_M2/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[234/369] OK soc1/2022_09_26_M6_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[235/369] OK soc1/2022_09_26_M6_M4/C7d_cams5_drop25 idf1=0.99793 acc=0.999953 sw=5
[236/369] OK soc3/2022_10_04_M1_M2/C7d_cams3_drop25 idf1=0.894135 acc=0.923912 sw=25
[237/369] OK soc1/2022_09_26_M6_M4/C7d_cams6_drop25 idf1=0.999459 acc=0.999968 sw=4
[238/369] OK soc3/2022_10_04_M1_M2/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[239/369] OK soc3/2022_10_04_M1_M2/C7d_cams4_drop25 idf1=0.992102 acc=0.999994 sw=2
