328 cells, 12 workers
[166/328] OK soc1/2022_09_25_M1_M4/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[167/328] OK soc1/2022_09_25_M5_M3/C7_cams2 idf1=0.999994 acc=0.999994 sw=2
[168/328] OK soc1/2022_09_25_M5_M3/C7b_cams2_sigma10 idf1=0.530753 acc=0.530753 sw=76
[169/328] OK soc1/2022_09_25_M1_M4/C7_cams5 idf1=1.0 acc=1.0 sw=0
[170/328] OK soc1/2022_09_25_M1_M4/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[171/328] OK soc1/2022_09_25_M5_M3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[172/328] OK soc1/2022_09_25_M5_M3/C7b_cams3_sigma10 idf1=0.825682 acc=0.825682 sw=68
[173/328] OK soc1/2022_09_25_M5_M3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[174/328] OK soc1/2022_09_25_M5_M3/C7b_cams4_sigma10 idf1=0.748379 acc=0.748379 sw=50
[175/328] OK soc1/2022_09_25_M6_M2/C7_cams2 idf1=1.0 acc=1.0 sw=0
[176/328] OK soc1/2022_09_25_M6_M2/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[177/328] OK soc1/2022_09_25_M5_M3/C7_cams5 idf1=0.999998 acc=0.999998 sw=0
[178/328] OK soc1/2022_09_25_M5_M3/C7b_cams5_sigma10 idf1=0.999254 acc=0.999254 sw=44
[179/328] OK soc1/2022_09_25_M6_M2/C7_cams3 idf1=1.0 acc=1.0 sw=0
[180/328] OK soc1/2022_09_25_M6_M2/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[181/328] OK soc1/2022_09_25_M6_M2/C7_cams4 idf1=1.0 acc=1.0 sw=0
[182/328] OK soc1/2022_09_26_M1_M3/C7_cams2 idf1=1.0 acc=1.0 sw=0
[183/328] OK soc1/2022_09_25_M6_M2/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[184/328] OK soc1/2022_09_25_M6_M2/C7_cams5 idf1=1.0 acc=1.0 sw=0
[185/328] OK soc1/2022_09_26_M1_M3/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[186/328] OK soc1/2022_09_25_M6_M2/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[187/328] OK soc1/2022_09_26_M1_M3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[188/328] OK soc1/2022_09_26_M1_M3/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[189/328] OK soc1/2022_09_26_M5_M2/C7_cams2 idf1=1.0 acc=1.0 sw=0
[190/328] OK soc1/2022_09_26_M1_M3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[191/328] OK soc1/2022_09_26_M1_M3/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[192/328] OK soc1/2022_09_26_M5_M2/C7b_cams2_sigma10 idf1=0.999747 acc=0.999747 sw=32
[193/328] OK soc1/2022_09_26_M1_M3/C7_cams5 idf1=1.0 acc=1.0 sw=0
[194/328] OK soc1/2022_09_26_M1_M3/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[195/328] OK soc1/2022_09_26_M5_M2/C7_cams3 idf1=0.999989 acc=0.999989 sw=0
[196/328] OK soc1/2022_09_26_M5_M2/C7b_cams3_sigma10 idf1=0.58888 acc=0.58888 sw=32
[197/328] OK soc1/2022_09_26_M5_M2/C7_cams4 idf1=0.779006 acc=0.779006 sw=2
[198/328] OK soc1/2022_09_26_M5_M2/C7b_cams4_sigma10 idf1=0.778559 acc=0.778559 sw=22
[199/328] OK soc1/2022_09_26_M6_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[200/328] OK soc1/2022_09_26_M6_M4/C7b_cams2_sigma10 idf1=0.999966 acc=0.999966 sw=2
[201/328] OK soc1/2022_09_26_M5_M2/C7_cams5 idf1=0.779013 acc=0.779013 sw=2
[202/328] OK soc1/2022_09_26_M6_M4/C7_cams3 idf1=1.0 acc=1.0 sw=0
[203/328] OK soc1/2022_09_26_M5_M2/C7b_cams5_sigma10 idf1=0.5886 acc=0.5886 sw=12
[204/328] OK soc1/2022_09_26_M6_M4/C7b_cams3_sigma10 idf1=0.999996 acc=0.999996 sw=0
[205/328] OK soc1/2022_09_26_M6_M4/C7_cams4 idf1=1.0 acc=1.0 sw=0
